date,Borough,week day,Month,TMAX,TMIN,holiday,Year,Total
3/29/2006,STATEN ISLAND,Wednesday,March,63,40,No Holiday,A2006,4
3/30/2006,BRONX,Thursday,March,67,45,No Holiday,A2006,40
3/30/2006,MANHATTAN,Thursday,March,67,45,No Holiday,A2006,34
3/30/2006,STATEN ISLAND,Thursday,March,67,45,No Holiday,A2006,10
3/31/2006,BRONX,Friday,March,70,50,No Holiday,A2006,31
3/31/2006,MANHATTAN,Friday,March,70,50,No Holiday,A2006,27
3/31/2006,STATEN ISLAND,Friday,March,70,50,No Holiday,A2006,10
4/1/2006,BRONX,Saturday,April,75,53,No Holiday,A2006,38
4/1/2006,MANHATTAN,Saturday,April,75,53,No Holiday,A2006,40
4/1/2006,STATEN ISLAND,Saturday,April,75,53,No Holiday,A2006,20
4/2/2006,BRONX,Sunday,April,68,47,No Holiday,A2006,42
4/2/2006,MANHATTAN,Sunday,April,68,47,No Holiday,A2006,29
4/2/2006,STATEN ISLAND,Sunday,April,68,47,No Holiday,A2006,15
4/3/2006,BRONX,Monday,April,58,47,No Holiday,A2006,48
4/3/2006,MANHATTAN,Monday,April,58,47,No Holiday,A2006,17
4/3/2006,STATEN ISLAND,Monday,April,58,47,No Holiday,A2006,13
4/4/2006,BRONX,Tuesday,April,55,43,No Holiday,A2006,29
4/4/2006,MANHATTAN,Tuesday,April,55,43,No Holiday,A2006,34
4/4/2006,STATEN ISLAND,Tuesday,April,55,43,No Holiday,A2006,12
4/5/2006,BRONX,Wednesday,April,47,33,No Holiday,A2006,41
4/5/2006,MANHATTAN,Wednesday,April,47,33,No Holiday,A2006,23
4/5/2006,STATEN ISLAND,Wednesday,April,47,33,No Holiday,A2006,14
4/6/2006,BRONX,Thursday,April,53,39,No Holiday,A2006,40
4/6/2006,MANHATTAN,Thursday,April,53,39,No Holiday,A2006,26
4/6/2006,STATEN ISLAND,Thursday,April,53,39,No Holiday,A2006,6
4/7/2006,BRONX,Friday,April,66,45,No Holiday,A2006,36
4/7/2006,MANHATTAN,Friday,April,66,45,No Holiday,A2006,37
4/7/2006,STATEN ISLAND,Friday,April,66,45,No Holiday,A2006,2
4/8/2006,BRONX,Saturday,April,63,37,No Holiday,A2006,46
4/8/2006,MANHATTAN,Saturday,April,63,37,No Holiday,A2006,30
4/8/2006,STATEN ISLAND,Saturday,April,63,37,No Holiday,A2006,10
4/9/2006,BRONX,Sunday,April,58,37,No Holiday,A2006,44
4/9/2006,MANHATTAN,Sunday,April,58,37,No Holiday,A2006,27
4/9/2006,STATEN ISLAND,Sunday,April,58,37,No Holiday,A2006,12
4/10/2006,BRONX,Monday,April,62,41,No Holiday,A2006,47
